Name,Z_bin,Rate,-Stat,+Stat,-System,+System,Notes
frohmaier_2021,0.17,102.041,-37.9009,72.8863,0,0,
quimby_2013,0.17,89.4077,-72.6438,215.137,0,0,
zhao_2020,0-1.6,116.61,0,0,0,0, 
prajs_2017,1.13,265.306,-104.956,221.574,0,0,
cooke_2012,2.0-4.0,1117.6,-558.798,558.798,0,0,
moriya_2019,2.5-3.5,1166.18,-1166.18,1166.18,0,0,
